condition,layer,cv_mean,cv_std,control_cv_mean,control_cv_std
ONLY_NAME,3,0.9887340340241397,0.004110236478280845,0.5211975442873931,0.020450188022720577
ONLY_NAME,4,0.9884029081963253,0.004683224430458804,0.5241765784762721,0.022076606331822332
ONLY_NAME,5,0.9887340340241397,0.004110236478280845,0.5185463411419723,0.01876561676292454
ONLY_NAME,6,0.9884029081963253,0.004683224430458804,0.5198752374990391,0.020893766631437004
ONLY_NAME,7,0.9887340340241397,0.004110236478280845,0.5225204002064732,0.020755103053102932
ONLY_NAME,8,0.9884029081963253,0.004683224430458804,0.5245093516962648,0.021987845401402698
ONLY_NAME,9,0.9884029081963253,0.004683224430458804,0.5248410266548055,0.022411313056508616
ONLY_NAME,10,0.9884029081963253,0.004683224430458804,0.5188813108848692,0.01905639256028756
ONLY_NAME,11,0.9884029081963253,0.004683224430458804,0.5231848483850066,0.023099925133361437
ONLY_NAME,12,0.9884029081963253,0.004683224430458804,0.5241743819533677,0.022999885334222002
ONLY_NAME,13,0.9884029081963253,0.004683224430458804,0.5255032783104345,0.0231238608780981
ONLY_NAME,14,0.9887340340241397,0.004110236478280845,0.5258371497918796,0.022539633013141137
ONLY_NAME,15,0.9887340340241397,0.004110236478280845,0.5231842992542804,0.023629415774875887
ONLY_NAME,16,0.9887340340241397,0.004110236478280845,0.5255032783104345,0.022102908909013935
ONLY_NAME,17,0.9887340340241397,0.004110236478280845,0.5208680658517567,0.02009194186338458
ONLY_NAME,18,0.9887340340241397,0.004110236478280845,0.5178851877477952,0.02047802552059427
ONLY_NAME,19,0.9887340340241397,0.004110236478280845,0.5221892743786586,0.01839799889470168
ONLY_NAME,20,0.9887340340241397,0.004110236478280845,0.5165595861750849,0.016245393356493453
ONLY_NAME,21,0.9887340340241397,0.004110236478280845,0.5238454526484576,0.020979113713292884
ONLY_NAME,22,0.9887340340241397,0.004110236478280845,0.5221914709015628,0.019951690731435868
ONLY_NAME,23,0.9884029081963253,0.004683224430458804,0.521196446025941,0.018996878217640175
ONLY_NAME,24,0.9884029081963253,0.004683224430458804,0.5248421249162576,0.019780766662985186
ONLY_NAME,25,0.9884029081963253,0.004683224430458804,0.527489484146596,0.02336976444693688
ONLY_NAME,26,0.9887340340241397,0.004110236478280845,0.5221920200322888,0.02087948637112615
ONLY_NAME,27,0.9884029081963253,0.004683224430458804,0.5258327567460709,0.021554876232480192
ONLY_NAME,28,0.9884029081963253,0.004683224430458804,0.5278228064973147,0.02254985221995526
ONLY_NAME,29,0.9887340340241397,0.004110236478280845,0.5264933610095219,0.024308293466815078
ONLY_NAME,30,0.9887340340241397,0.004110236478280845,0.5192124367126839,0.021103900236228216
ONLY_NAME,31,0.9887340340241397,0.004110236478280845,0.522853722557192,0.020648249209920623
ONLY_NAME,32,0.9887340340241397,0.004110236478280845,0.5218592468122961,0.025755109037596022
ONLY_NAME,33,0.988402359065599,0.004057252285886442,0.5215292192459338,0.024614312955240268
ONLY_NAME,34,0.988402359065599,0.004057252285886442,0.5238460017791835,0.025142244166160097
ONLY_NAME,35,0.9880712332377846,0.004613045737857166,0.5215292192459338,0.028411674131186164
ONLY_NAME,36,0.988402359065599,0.004057252285886442,0.5238460017791836,0.025073914058786034
ONLY_NAME,37,0.9880712332377846,0.004613045737857166,0.5215308666381118,0.023187628812815313
ONLY_NAME,38,0.98774010740997,0.004393306088738733,0.5185468902726983,0.020811461621936356
ONLY_NAME,39,0.9867456316650742,0.006017175346545121,0.5245088025655388,0.022785309751762937
ONLY_NAME,40,0.9870767574928887,0.0054838398811556666,0.5195380712332378,0.022258100990824405
ONLY_NAME,41,0.9874089815821554,0.0048663596252432086,0.5192080436668753,0.023788673733318482
ONLY_NAME,42,0.9880712332377846,0.004613045737857166,0.5145700855545672,0.017819807813027513
ONLY_NAME,43,0.9880712332377846,0.004613045737857166,0.5208675167210306,0.0205920683823736
ONLY_NAME,44,0.9870784048850669,0.0055787407464481615,0.5198735901068607,0.020852800150320736
ONLY_NAME,45,0.9870778557543408,0.004843213027889435,0.5198741392375869,0.021024462884778893
ONLY_NAME,46,0.9870773066236147,0.005066196154861762,0.5215264735923034,0.025389989655358533
ONLY_NAME,47,0.9864145058372596,0.005484039923298379,0.5215286701152076,0.02442832337358905
ONLY_NAME,48,0.9864145058372596,0.005484039923298379,0.5175513162663503,0.019132819550221208
ONLY_NAME,49,0.9864145058372596,0.005484039923298379,0.5261644317046116,0.023727829291477803
ONLY_NAME,50,0.9870767574928887,0.005176652296403381,0.5221914709015628,0.026123378387846407
ONLY_NAME,51,0.9870778557543408,0.0048439644630260195,0.5165584879136327,0.02255534369648418
ONLY_NAME,52,0.9874089815821554,0.005194041268907526,0.517221288699988,0.02156755079617209
ONLY_NAME,53,0.9874095307128815,0.00497675289634464,0.5208642219366743,0.019317991793056523
ONLY_NAME,54,0.9874095307128815,0.004391566201138305,0.5241798732606284,0.0229872851239943
ONLY_NAME,55,0.9867467299265262,0.0050212394684585274,0.5192063962746971,0.024568393275379297
ONLY_NAME,56,0.9867467299265262,0.0050212394684585274,0.5175507671356243,0.022984873589239743
ONLY_NAME,57,0.9867467299265262,0.0050212394684585274,0.525832756746071,0.025356168662473394
ONLY_NAME,58,0.9864156040987118,0.006050051257059641,0.5251699559597157,0.023843773595339093
ONLY_NAME,59,0.9870784048850669,0.005378611534509939,0.5172229360921661,0.024697182663884674
ONLY_NAME,60,0.9857528033123566,0.0067534623055821525,0.5201981263659627,0.021501493654086334
ONLY_ARTIST,0,0.5453944406005294,0.0006285889611019767,0.5443999648556336,0.00036989977225646595
ONLY_ARTIST,1,0.9887340340241397,0.004110236478280845,0.5195375221025117,0.01973278944983371
ONLY_ARTIST,2,0.9884029081963253,0.004683224430458804,0.5235176216049993,0.02347258280725088
ONLY_ARTIST,3,0.9884029081963253,0.004683224430458804,0.5294784356363876,0.026659673787806475
ONLY_ARTIST,4,0.9884029081963253,0.004683224430458804,0.5225253423830077,0.021604992544817986
